Akletos goeldii_Isonokimuura
Akletos melanoceps_Valko-olkamuura
Alaemon alaudipes_Kirjosiipikiuru
Alauda arvensis_kiuru
Alauda gulgula_Aasiankiuru
Alauda leucoptera_Valkosiipikiuru
Alaudala cheleensis_Mongolianhietakiuru
Alaudala heinei_Turkestan Short-toed Lark
Alaudala raytal_Intianhietakiuru
Alaudala rufescens_Pikkukiuru
Alaudala somalica_Somalianpikkukiuru
Alca torda_ruokki
Alcedo atthis_kuningaskalastaja
Alcedo coerulescens_Jaavansinikalastaja
Alcedo meninting_Sinikorvakalastaja
Alcippe brunneicauda_Harmaatiaistimali
Alcippe fratercula_Ynnan Fulvetta
Alcippe hueti_Het's Fulvetta
Alcippe morrisonia_Pensastiaistimali
Alcippe nipalensis_Vuoritiaistimali
Alcippe peracensis_Mustajuovatimali
Alcippe poioicephala_Isotiaistimali
Alcippe pyrrhoptera_Jaavantiaistimali
Aleadryas rufinucha_Punaniskaviheltäjä
Alectoris barbara_kalliopyy
Alectoris chukar_vuoripyy
Alectoris graeca_kivikkopyy
Alectoris rufa_punapyy
Alectura lathami_Kekokana
Alethe castanea_Kekälealetti
Alethe diademata_Ruskoaletti
Alipiopsitta xanthops_Kaunoamatsoni
Alisterus scapularis_Australiankuningaskaija
Allenia fusca_Suomurintamatkija
Allonemobius allardi_Allard's Ground Cricket
Allonemobius tinnulus_Tinkling Ground Cricket
Allonemobius walkeri_Walker's Ground Cricket
Alophoixus finschii_Tummaselkäbulbuli
Alophoixus flaveolus_Sammakkobulbuli
Alophoixus longirostris_Sla Golden-Bulbul
Alophoixus ochraceus_Harmaavatsabulbuli
Alophoixus pallidus_Harmaaposkibulbuli
Alophoixus phaeocephalus_Tuhkapääbulbuli
Alophoixus tephrogenys_Gray-cheeked Bulbul
Alopochelidon fucata_Ruostenaamiopääsky
Alopochen aegyptiaca_afrikanhanhi
Alouatta pigra_Mexican Black Howler Monkey
Amalocichla incerta_Papuanrastas
Amandava amandava_Punatiikeripeippo
Amaurolimnas concolor_Pikkumangrovekana
Amaurornis cinerea_Wite-browed Crake
Amaurornis isabellina_Celebesinsuokana
Amaurornis moluccana_Ruosteperähuitti
Amaurornis phoenicurus_Ojasuokana
Amaurospiza aequatorialis_Euadorian Seedeater
Amaurospiza concolor_Sinisirkkunen
Amaurospiza moesta_Tummasinisirkkunen
Amazilia amabilis_Bue-chested Hummingbird
Amazilia amazilia_Aazilia Hummingbird
Amazilia beryllina_Brylline Hummingbird
Amazilia brevirostris_Wite-chested Emerald
Amazilia candida_Wite-bellied Emerald
Amazilia castaneiventris_Cestnut-bellied Hummingbird
Amazilia chionogaster_Wite-bellied Hummingbird
Amazilia cyanifrons_Idigo-capped Hummingbird
Amazilia cyanocephala_Aure-crowned Hummingbird
Amazilia decora_Carming Hummingbird
Amazilia edward_Sowy-bellied Hummingbird
Amazilia fimbriata_Gittering-throated Emerald
Amazilia franciae_Adean Emerald
Amazilia lactea_Spphire-spangled Emerald
Amazilia leucogaster_Pain-bellied Emerald
Amazilia luciae_Hondurasintimanttikolibri
Amazilia rosenbergi_Prple-chested Hummingbird
Amazilia rutila_Kanelitimanttikolibri
Amazilia saucerottei_Seely-vented Hummingbird
Amazilia tobaci_Cpper-rumped Hummingbird
Amazilia tzacatl_Ruostepyrstökolibri
Amazilia versicolor_Vrsicolored Emerald
Amazilia violiceps_Volet-crowned Hummingbird
Amazilia viridicauda_Geen-and-white Hummingbird
Amazilia yucatanensis_Säämiskätimanttikolibri
Amazilis amazilia_Amazilia Hummingbird
Amazona aestiva_Siniotsa-amatsoni
Amazona agilis_Mustanokka-amatsoni
Amazona albifrons_Valko-otsa-amatsoni
Amazona amazonica_Kultaposkiamatsoni
Amazona auropalliata_Keltaniska-amatsoni
Amazona autumnalis_Punaotsa-amatsoni
Amazona brasiliensis_Liekkipyrstöamatsoni
Amazona dufresniana_Siniposkiamatsoni
Amazona farinosa_Jauhoamatsoni
Amazona festiva_Jokiamatsoni
Amazona finschi_Lila-amatsoni
Amazona guatemalae_Nrthern Mealy Amazon
Amazona kawalli_Brasilianamatsoni
Amazona leucocephala_Kuubanamatsoni
Amazona mercenarius_Andienamatsoni
Amazona ochrocephala_Amazonianamatsoni
Amazona oratrix_Keltapääamatsoni
Amazona rhodocorytha_Tuliotsa-amatsoni
Amazona tucumana_Rubiiniamatsoni
Amazona ventralis_Hispaniolanamatsoni
Amazona vinacea_Viiniamatsoni
Amazona viridigenalis_Meksikonamatsoni
Amazona xantholora_Jukataninamatsoni
Amazonetta brasiliensis_brasiliantavi
