Akletos goeldii_Meravenčík Goeldiův
Akletos melanoceps_Meravenčík běloramenný
Alaemon alaudipes_skřivan dudkovitý
Alauda arvensis_skřivan polní
Alauda gulgula_skřivan východní
Alauda leucoptera_Kealandra bělokřídlá
Alaudala cheleensis_skřivánek asijský
Alaudala heinei_skřivánek turkestánský
Alaudala raytal_skřivánek indický
Alaudala rufescens_skřivánek menší
Alaudala somalica_Somali Short-toed Lark
Alca torda_alka malá
Alcedo atthis_ledňáček říční
Alcedo coerulescens_Leedňáček drobný
Alcedo meninting_ledňáček modrohřbetý
Alcippe brunneicauda_Teimálie šedobřichá
Alcippe fratercula_Yunnan Fulvetta
Alcippe hueti_Huet's Fulvetta
Alcippe morrisonia_Teimálie yunanská
Alcippe nipalensis_Teimálie vysokohorská
Alcippe peracensis_Teimálie malajská
Alcippe poioicephala_Teimálie šedotemenná
Alcippe pyrrhoptera_Teimálie hnědočervená
Aleadryas rufinucha_Peištec rezavošíjný
Alectoris barbara_orebice berberská
Alectoris chukar_orebice čukar
Alectoris graeca_orebice horská
Alectoris rufa_orebice rudá
Alectura lathami_tabon brunátný
Alethe castanea_Derozdík hnědavý
Alethe diademata_Derozdík ohnivotemenný
Alipiopsitta xanthops_amazoňan žlutobřichý
Alisterus scapularis_papoušek královský
Allenia fusca_Scaly-breasted Thrasher
Allonemobius allardi_Allard's Ground Cricket
Allonemobius tinnulus_Tinkling Ground Cricket
Allonemobius walkeri_Walker's Ground Cricket
Alophoixus finschii_Finsch's Bulbul
Alophoixus flaveolus_Beulbulec bělohrdlý
Alophoixus longirostris_Sula Golden-Bulbul
Alophoixus ochraceus_bulbulec okrový
Alophoixus pallidus_Beulbulec jihoasijský
Alophoixus phaeocephalus_Beulbulec šedočapkový
Alophoixus tephrogenys_Gray-cheeked Bulbul
Alopochelidon fucata_Velaštovka rezavohlavá
Alopochen aegyptiaca_husice nilská
Alouatta pigra_Vřešťan mono
Amalocichla incerta_Leejsčík menší
Amandava amandava_tygříček tečkovaný
Amaurolimnas concolor_chřástal pískavý
Amaurornis cinerea_White-browed Crake
Amaurornis isabellina_chřástal celebeský
Amaurornis moluccana_chřástal soumračný
Amaurornis phoenicurus_chřástal běloprsý
Amaurospiza aequatorialis_Ecuadorian Seedeater
Amaurospiza concolor_Leouskač modrý
Amaurospiza moesta_Leouskač černomodrý
Amazilia amabilis_Blue-chested Hummingbird
Amazilia amazilia_Amazilia Hummingbird
Amazilia beryllina_Berylline Hummingbird
Amazilia brevirostris_White-chested Emerald
Amazilia candida_White-bellied Emerald
Amazilia castaneiventris_Chestnut-bellied Hummingbird
Amazilia chionogaster_White-bellied Hummingbird
Amazilia cyanifrons_Indigo-capped Hummingbird
Amazilia cyanocephala_Azure-crowned Hummingbird
Amazilia decora_Charming Hummingbird
Amazilia edward_Snowy-bellied Hummingbird
Amazilia fimbriata_Glittering-throated Emerald
Amazilia franciae_Andean Emerald
Amazilia lactea_Sapphire-spangled Emerald
Amazilia leucogaster_Plain-bellied Emerald
Amazilia luciae_kolibřík honduraský
Amazilia rosenbergi_Purple-chested Hummingbird
Amazilia rutila_kolibřík ryšavý
Amazilia saucerottei_Steely-vented Hummingbird
Amazilia tobaci_Copper-rumped Hummingbird
Amazilia tzacatl_kolibřík rezavoocasý
Amazilia versicolor_Kolibřík duhový
Amazilia violiceps_Violet-crowned Hummingbird
Amazilia viridicauda_Green-and-white Hummingbird
Amazilia yucatanensis_kolibřík yukatanský
Amazilis amazilia_kolibřík Amazilin
Amazona aestiva_amazoňan modročelý
Amazona agilis_Aemazoňan černozobý
Amazona albifrons_Aemazoňan běločelý
Amazona amazonica_amazoňan oranžovokřídlý
Amazona auropalliata_Amazoňan žlutokrký
Amazona autumnalis_Aemazoňan rudočelý
Amazona brasiliensis_Aemazoňan rudoocasý
Amazona dufresniana_Aemazoňan modrolící
Amazona farinosa_Aemazoňan pomoučený
Amazona festiva_Aemazoňan modrobradý
Amazona finschi_Aemazoňan fialovotemenný
Amazona guatemalae_Northern Mealy Amazon
Amazona kawalli_Aemazoňan Kawalův
Amazona leucocephala_amazoňan kubánský
Amazona mercenarius_Aemazoňan vojenský
Amazona ochrocephala_amazoňan žlutohlavý
Amazona oratrix_amazoňan zlatohlavý
Amazona rhodocorytha_Aemazoňan rudooký
Amazona tucumana_Aemazoňan tukumanský
Amazona ventralis_Aemazoňan haitský
Amazona vinacea_Aemazoňan fialovoprsý
Amazona viridigenalis_Aemazoňan zelenolící
Amazona xantholora_Aemazoňan černouchý
Amazonetta brasiliensis_kachnička amazonská
Amblycercus holosericeus_Terupiál žlutozobý
